idx,size,x,y,grid_size
1,1,0,0,1
1,2,1,0,2
1,2,1,1,2
3,2,0,1,2
3,2,1,1,2
4,2,0,1,2
4,2,1,0,2
6,2,0,0,2
6,2,1,1,2
7,2,0,0,2
7,2,1,0,2
8,2,0,0,2
8,2,0,1,2
24,4,1,0,3
24,4,1,2,3
24,4,2,0,3
24,4,2,2,3
36,4,0,2,3
36,4,1,2,3
36,4,2,0,3
36,4,2,1,3
42,4,0,2,3
42,4,1,0,3
42,4,1,2,3
42,4,2,0,3
60,4,0,1,3
60,4,0,2,3
60,4,2,1,3
60,4,2,2,3
62,4,0,1,3
62,4,0,2,3
62,4,2,0,3
62,4,2,1,3
64,4,0,1,3
64,4,0,2,3
64,4,1,0,3
64,4,2,0,3
79,4,0,0,3
79,4,1,0,3
79,4,2,1,3
79,4,2,2,3
81,4,0,0,3
81,4,1,0,3
81,4,1,2,3
81,4,2,2,3
85,4,0,0,3
85,4,0,2,3
85,4,1,0,3
85,4,1,2,3
89,4,0,0,3
89,4,0,1,3
89,4,2,1,3
89,4,2,2,3
91,4,0,0,3
91,4,0,1,3
91,4,2,0,3
91,4,2,1,3
93,4,0,0,3
93,4,0,1,3
93,4,1,2,3
93,4,2,2,3
573,6,0,2,4
573,6,0,3,4
573,6,2,0,4
573,6,2,3,4
573,6,3,0,4
573,6,3,2,4
724,6,0,1,4
724,6,0,3,4
724,6,1,0,4
724,6,1,3,4
724,6,3,0,4
724,6,3,1,4
953,6,0,0,4
953,6,0,2,4
953,6,1,0,4
953,6,1,3,4
953,6,3,2,4
953,6,3,3,4
991,6,0,0,4
991,6,0,1,4
991,6,2,0,4
991,6,2,3,4
991,6,3,1,4
991,6,3,3,4
3806,7,0,4,5
3806,7,2,1,5
3806,7,2,4,5
3806,7,3,0,5
3806,7,3,4,5
3806,7,4,0,5
3806,7,4,3,5
4596,7,0,4,5
4596,7,1,0,5
4596,7,1,4,5
4596,7,3,0,5
4596,7,3,1,5
4596,7,3,3,5
4596,7,4,4,5
4715,7,0,4,5
4715,7,1,0,5
4715,7,1,1,5
4715,7,1,3,5
4715,7,3,0,5
4715,7,3,4,5
4715,7,4,4,5
